응답자ID,조사시작일자,성별구분코드,연령대구분명,답변자거주지역명,가구소득정도명,레저시간사용목적1순위값,레저시간사용목적2순위값,평일일평균레저시간값,주말일평균레저시간값,레저시간휴식오락사용비율,레저시간취미사용비율,레저시간본인계발사용비율,레저시간대인관계교제사용비율,레저시간기타사용비율,관심레저활동1순위값,관심레저활동2순위값,관심레저활동3순위값,관심레저활동4순위값,관심레저활동5순위값
53359283,20240424,M,40대,부산광역시,300만원 미만,가족-지인 등과 시간을 보내기 위해,마음의 안정-휴식을 위해,2,7,50,20,20,10,0,골프 직접 하기,걷기-속보-조깅 직접 하기,국내 여행,없음,없음
53359316,20240424,F,40대,경기도,500이상700만원 미만,자기 계발을 위해,가족-지인 등과 시간을 보내기 위해,0,3,0,0,70,30,0,독서,어학-기술-자격증 취득,요가-필라테스 직접 하기,없음,없음
53359454,20240424,M,30대,서울특별시,300이상500만원 미만,자기만족-즐거움을 위해,스트레스 해소를 위해,2,5,40,10,10,40,0,계모임-동창회-사교모임,가족-친지 만남,국내 여행,쇼핑,영화관 관람
53359469,20240424,M,50대,제주특별자치도,700만원 이상,마음의 안정-휴식을 위해,가족-지인 등과 시간을 보내기 위해,2,5,40,10,10,40,0,음주-유흥,반려동물 돌보기,낮잠자기,쇼핑,갬블
53359554,20240424,M,50대,경상북도,300이상500만원 미만,가족-지인 등과 시간을 보내기 위해,마음의 안정-휴식을 위해,2,4,30,10,0,40,20,온천-사우나-찜질방,없음,없음,없음,없음
53359621,20240424,M,20대,경기도,300만원 미만,마음의 안정-휴식을 위해,스트레스 해소를 위해,2,4,20,30,0,50,0,종교활동,쇼핑,해외여행,구기스포츠 직접 하기,영상 컨텐츠 시청
53359790,20240424,F,20대,전라북도,무응답,스트레스 해소를 위해,가족-지인 등과 시간을 보내기 위해,3,8,10,10,10,70,0,국내 여행,없음,없음,없음,없음
53359854,20240424,F,60대,충청남도,300이상500만원 미만,자기 계발을 위해,없음,1,5,10,10,10,10,60,음악 직접 활동 및 수강하기,없음,없음,없음,없음
53360041,20240424,F,20대,서울특별시,300이상500만원 미만,마음의 안정-휴식을 위해,대인 관계-교제를 위해,6,14,80,0,0,20,0,낮잠자기,SNS -인터넷 커뮤니티 활동,만화책 보기,쇼핑,음주-유흥
53360168,20240424,M,50대,부산광역시,500이상700만원 미만,자기 계발을 위해,자기만족-즐거움을 위해,2,6,30,30,30,10,0,헬스-보디빌딩 직접 하기,계모임-동창회-사교모임,볼링_ 당구-포켓볼 직접 하기,라켓스포츠 직접 하기,쇼핑
53360273,20240424,M,50대,경기도,700만원 이상,건강 관리를 위해,자기만족-즐거움을 위해,15,5,20,60,20,0,0,영상 컨텐츠 시청,등산 직접 하기,산책-걷기,헬스-보디빌딩 직접 하기,맛집-카페 탐방
53360306,20240424,M,50대,경기도,500이상700만원 미만,마음의 안정-휴식을 위해,스트레스 해소를 위해,1,5,50,0,40,10,0,어학-기술-자격증 취득,독서,걷기-속보-조깅 직접 하기,낮잠자기,산책-걷기
53360307,20240424,M,50대,충청북도,500이상700만원 미만,자기만족-즐거움을 위해,대인 관계-교제를 위해,1,4,20,20,20,40,0,독서,해외여행,없음,없음,없음
53360434,20240424,F,60대,경상남도,700만원 이상,자기만족-즐거움을 위해,가족-지인 등과 시간을 보내기 위해,1,3,30,30,10,30,0,줄넘기-맨손체조-스트레칭 직접 하기,생활공예-원예,걷기-속보-조깅 직접 하기,가족-친지 만남,산책-걷기
53360972,20240424,M,50대,충청북도,700만원 이상,가족-지인 등과 시간을 보내기 위해,없음,2,6,40,0,0,60,0,영화관 관람,국내 여행,산책-걷기,드라이브,음주-유흥
53361006,20240424,F,40대,강원도,300이상500만원 미만,마음의 안정-휴식을 위해,가족-지인 등과 시간을 보내기 위해,2,10,80,10,0,10,0,만화책 보기,SNS -인터넷 커뮤니티 활동,영상 컨텐츠 시청,걷기-속보-조깅 직접 하기,없음
53361179,20240424,M,30대,경기도,500이상700만원 미만,건강 관리를 위해,마음의 안정-휴식을 위해,2,2,0,80,20,0,0,수영 직접 하기,라켓스포츠 직접 하기,국내 여행,없음,없음
53361270,20240424,F,50대,경기도,500이상700만원 미만,자기만족-즐거움을 위해,마음의 안정-휴식을 위해,2,2,30,10,40,10,10,산책-걷기,드라이브,낮잠자기,없음,없음
53361588,20240424,F,50대,경기도,700만원 이상,마음의 안정-휴식을 위해,자기 계발을 위해,1,1,10,90,0,0,0,미술 직접 활동 및 수강하기,국내 여행,산책-걷기,없음,없음
53361649,20240424,F,30대,광주광역시,무응답,자기만족-즐거움을 위해,가족-지인 등과 시간을 보내기 위해,15,15,80,10,0,10,0,영상 컨텐츠 시청,헬스-보디빌딩 직접 하기,없음,없음,없음
53361669,20240424,M,40대,서울특별시,700만원 이상,마음의 안정-휴식을 위해,스트레스 해소를 위해,2,5,90,0,0,10,0,영상 컨텐츠 시청,음악-라디오 감상,국내 여행,사진 촬영,영화관 관람
53361742,20240424,M,40대,세종특별자치시,700만원 이상,자기만족-즐거움을 위해,가족-지인 등과 시간을 보내기 위해,4,6,50,20,0,30,0,헬스-보디빌딩 직접 하기,쇼핑,가족-친지 만남,국내 여행,인테리어
