연령계층별,시점,인구[천명],경제활동인구[천명],취업자[천명],실업자[천명],비경제활동인구[천명],경제활동참가율[%],실업률[%],고용률[%]
15 - 29세,2022.10 월,8503.2,4183.7,3948.2,235.5,4319.5,49.2,5.6,46.4
15 - 29세,2022.11 월,8488.8,4153.4,3915.4,237.9,4335.4,48.9,5.7,46.1
15 - 29세,2022.12 월,8473.4,4107.1,3892.3,214.8,4366.3,48.5,5.2,45.9
15 - 29세,2023.01 월,8489.1,4158.7,3912.3,246.5,4330.3,49,5.9,46.1
15 - 29세,2023.02 월,8468.1,4143.7,3852.7,291,4324.4,48.9,7,45.5
15 - 29세,2023.03 월,8453.6,4207.1,3907,300.1,4246.5,49.8,7.1,46.2
15 - 29세,2023.04 월,8433.8,4148.3,3881.3,267,4285.4,49.2,6.4,46
15 - 29세,2023.05 월,8415.9,4252.3,4005,247.3,4163.6,50.5,5.8,47.6
15 - 29세,2023.06 월,8395.8,4212.6,3946.8,265.8,4183.2,50.2,6.3,47
15 - 29세,2023.07 월,8378.1,4191.1,3939.5,251.6,4187.1,50,6,47
15 - 29세,2023.08 월,8359.3,4116.8,3931.4,185.4,4242.5,49.2,4.5,47
15 - 29세,2023.09 월,8341,4091.5,3877.8,213.7,4249.5,49.1,5.2,46.5
15 - 29세,2023.10 월,8326.8,4075.1,3866.2,208.9,4251.8,48.9,5.1,46.4
15 - 29세,2023.11 월,8314.5,4062.2,3848.2,214,4252.3,48.9,5.3,46.3
15 - 29세,2023.12 월,8305.7,4041.7,3818.6,223.1,4264,48.7,5.5,46
15 - 29세,2024.01 월,8271.2,4073.2,3827.5,245.7,4198,49.2,6,46.3
15 - 29세,2024.02 월,8249.9,4055.8,3792.2,263.6,4194,49.2,6.5,46
15 - 29세,2024.03 월,8223.1,4039.1,3775.6,263.4,4184.1,49.1,6.5,45.9
15 - 29세,2024.04 월,8200.4,4070.4,3792.4,278,4130,49.6,6.8,46.2
15 - 19세,2000.01 월,3848.5,539.2,433.1,106.1,3309.3,14,19.7,11.3
15 - 19세,2000.02 월,3835.1,504.3,428.7,75.6,3330.8,13.1,15,11.2
15 - 19세,2000.03 월,3821.3,421.4,355.1,66.3,3399.9,11,15.7,9.3
15 - 19세,2000.04 월,3808.7,408.4,347.8,60.6,3400.3,10.7,14.8,9.1
15 - 19세,2000.05 월,3796.3,423.2,370.6,52.7,3373.1,11.1,12.5,9.8
15 - 19세,2000.06 월,3783.6,408.8,355.4,53.4,3374.8,10.8,13.1,9.4
15 - 19세,2000.07 월,3764.7,524.2,439.6,84.6,3240.5,13.9,16.1,11.7
