시점,경제활동인구,취업자,실업자,비경제활동인구,경제활동참가율[%],실업률[%],고용률[%]
2018.03 월,5811.5,5597.2,214.3,1598.5,78.4,3.7,75.5
2018.04 월,5842.2,5623.8,218.4,1557.9,78.9,3.7,76
2018.05 월,5830.9,5615.8,215.1,1559.1,78.9,3.7,76
2018.06 월,5808.6,5607.4,201.2,1571.3,78.7,3.5,76
2018.07 월,5762.3,5563.2,199.1,1609.1,78.2,3.5,75.5
2018.08 월,5741.7,5527,214.7,1621,78,3.7,75.1
2018.09 월,5763.3,5556.7,206.6,1590.8,78.4,3.6,75.6
2018.10 월,5752.1,5565,187.1,1593.5,78.3,3.3,75.8
2018.11 월,5726.9,5558.2,168.7,1609.8,78.1,2.9,75.8
2018.12 월,5705.5,5548.3,157.2,1623,77.9,2.8,75.7
2019.01 월,5668.5,5500.8,167.7,1650.8,77.4,3,75.2
2019.02 월,5679,5481.5,197.5,1635.7,77.6,3.5,74.9
2019.03 월,5729.2,5515.2,214.1,1577.8,78.4,3.7,75.5
2019.04 월,5765.6,5534.1,231.5,1534.6,79,4,75.8
2019.05 월,5757.6,5543.2,214.4,1534.3,79,3.7,76
2019.06 월,5789.7,5575.5,214.2,1495.4,79.5,3.7,76.5
2019.07 월,5753.2,5540.4,212.8,1520.2,79.1,3.7,76.2
2019.08 월,5691.4,5518,173.4,1569.1,78.4,3,76
2019.09 월,5705.2,5544.2,161,1542.9,78.7,2.8,76.5
2019.10 월,5685.6,5515.2,170.4,1550.4,78.6,3,76.2
2019.11 월,5700.3,5532.7,167.6,1523.3,78.9,2.9,76.6
2019.12 월,5704.2,5550.5,153.7,1507.7,79.1,2.7,77
2020.01 월,5681.8,5518.4,163.4,1516.1,78.9,2.9,76.7
2020.02 월,5688.1,5500.8,187.3,1497.8,79.2,3.3,76.5
2020.03 월,5591.7,5407.3,184.4,1580.8,78,3.3,75.4
2020.04 월,5557.2,5361.7,195.5,1601.9,77.6,3.5,74.9
2020.05 월,5578.4,5359.9,218.6,1568.6,78.1,3.9,75
2020.06 월,5588,5380.3,207.7,1546.1,78.3,3.7,75.4
2020.07 월,5560.6,5370.7,189.9,1560.6,78.1,3.4,75.4
2020.08 월,5445.5,5288.4,157.2,1662.7,76.6,2.9,74.4
2020.09 월,5456.8,5260.5,196.3,1638.3,76.9,3.6,74.1
2020.10 월,5495.9,5275.6,220.2,1586.7,77.6,4,74.5
2020.11 월,5545.2,5339.1,206.1,1525.4,78.4,3.7,75.5
2020.12 월,5511.7,5304.1,207.6,1547,78.1,3.8,75.1
2021.01 월,5480.4,5245.1,235.3,1567.6,77.8,4.3,74.4
2021.02 월,5479.6,5263,216.6,1555.4,77.9,4,74.8
2021.03 월,5460.2,5237.7,222.5,1561.9,77.8,4.1,74.6
2021.04 월,5460.3,5263.4,196.9,1548.9,77.9,3.6,75.1
2021.05 월,5472.4,5291.4,181,1523.9,78.2,3.3,75.6
2021.06 월,5432.7,5267.9,164.8,1550.6,77.8,3,75.4
2021.07 월,5409.4,5248.8,160.5,1565.2,77.6,3,75.3
2021.08 월,5351.6,5200,151.6,1613.7,76.8,2.8,74.7
2021.09 월,5383.6,5248.1,135.5,1572.7,77.4,2.5,75.4
2021.10 월,5413.3,5252,161.3,1534.5,77.9,3,75.6
2021.11 월,5423.9,5270.2,153.8,1515.9,78.2,2.8,75.9
2021.12 월,5435.7,5293.2,142.5,1495.5,78.4,2.6,76.4
2022.01 월,5405.3,5267.1,138.2,1505.5,78.2,2.6,76.2
2022.02 월,5418.4,5277.8,140.6,1481.4,78.5,2.6,76.5
2022.03 월,5424,5280.7,143.3,1464.2,78.7,2.6,76.7
2022.04 월,5460,5296.3,163.8,1417.3,79.4,3,77
2022.05 월,5474.1,5297.1,177,1392,79.7,3.2,77.1
2022.06 월,5454.4,5286.1,168.2,1399.9,79.6,3.1,77.1
2022.07 월,5477.9,5311.2,166.7,1371,80,3,77.5
2022.08 월,5436.6,5297.7,138.9,1407.4,79.4,2.6,77.4
2022.09 월,5479.7,5338.8,140.9,1359.2,80.1,2.6,78.1
2022.10 월,5460.9,5312.5,148.4,1373.5,79.9,2.7,77.7
2022.11 월,5470.1,5336,134.1,1359.6,80.1,2.5,78.1
2022.12 월,5458.3,5334.7,123.6,1366.4,80,2.3,78.2
